Response,Explanatory1,Explanatory2,Explanatory3,Explanatory4
-92.04,1.573,-182.664,133.317,-172.07
0.58,-13.041,-216.926,163.855,-172.23
-23.416,-1.751,-164.083,127.49,-165.007
-88.118,-1.915,-189.391,136.594,-168.752
-136.88,-1.846,-269.449,97.789,-165.639
-54.816,-2.957,-170.591,123.837,-166.572
-14.981,-2.597,-170.285,129.948,-171.84
-22.078,-0.001,-224.181,131.206,-170.99
-132.316,-20.332,-127.213,103.273,-171.768
-79.669,-3.59,-230.258,127.586,-167.725
-75.039,5.633,-199.172,129.387,-169.674
-121.651,-2.606,-198.679,136.387,-171.553
-39.45,-8.798,-226.522,134.473,-166.866
-94.753,-3.3,-188.056,149.363,-166.671
-19.648,-20.571,-177.715,134.893,-171.681
-140.602,7.166,-191.61,138.363,-169.38
-73.193,4.0,-185.973,121.207,-169.471
-74.571,-8.667,-187.162,154.512,-160.879
-85.988,-1.953,-168.603,108.679,-170.983
-47.594,8.715,-233.365,110.015,-170.023
14.298,-15.952,-176.617,131.953,-168.86
-46.084,-8.592,-192.879,132.635,-170.801
-30.964,-10.488,-142.486,136.564,-176.239
-22.301,-13.206,-200.178,124.618,-164.701
-72.988,3.769,-211.509,137.539,-168.341
-84.313,1.717,-202.007,137.543,-168.949
-71.112,-2.583,-193.57,147.771,-166.187
-64.764,0.939,-182.216,150.336,-167.53
-74.013,4.564,-188.243,124.428,-167.076
-1.823,-7.374,-173.554,129.074,-167.507
-165.337,-7.524,-220.77,125.39,-166.006
-68.249,8.6,-165.543,129.176,-170.329
-77.627,-0.118,-179.465,145.632,-165.676
-63.109,3.457,-213.788,107.084,-171.887
-139.97,5.432,-206.059,138.444,-168.247
-66.675,0.789,-193.672,118.846,-167.584
-121.236,-5.865,-195.052,119.483,-168.835
-71.341,2.612,-176.302,125.827,-174.561
-60.233,5.275,-180.006,112.232,-164.875
-111.892,-16.655,-187.991,176.039,-170.936
-9.893,7.691,-148.781,131.189,-165.856
-48.745,2.264,-216.863,141.177,-166.865
-102.568,-10.253,-224.137,119.177,-166.415
-30.067,0.047,-201.485,122.345,-166.996
-80.496,2.734,-172.61,158.365,-170.558
-45.927,-3.312,-199.688,116.92,-168.207
-103.98,8.197,-199.384,150.363,-167.777
-5.972,6.013,-204.373,148.924,-170.64
-16.957,17.283,-196.4,124.434,-166.661
-91.656,8.62,-171.273,180.314,-164.369
-108.727,-3.368,-214.674,140.515,-165.923
94.115,-3.564,-241.534,129.804,-165.767
-68.837,-4.795,-206.063,154.103,-164.271
-34.698,1.996,-172.027,140.022,-170.57
-24.046,-4.065,-173.648,118.843,-167.267
-54.88,2.475,-200.992,133.308,-168.209
-81.728,-10.783,-190.486,120.117,-164.883
-46.222,-1.465,-188.342,115.658,-162.683
-57.57,6.077,-189.44,96.718,-167.328
-98.873,-3.239,-166.794,116.347,-176.225
-66.102,-14.828,-198.708,143.386,-166.851
-90.216,11.875,-208.078,114.174,-167.409
-112.941,-5.454,-186.445,126.54,-167.263
-2.783,-16.539,-133.338,134.888,-170.552
-124.788,-4.723,-215.209,154.573,-172.367
-42.912,-14.294,-207.714,112.325,-170.987
-36.407,-5.759,-194.565,140.612,-170.343
-3.093,2.671,-204.713,134.909,-169.972
-30.981,-8.042,-203.883,148.701,-164.913
-101.632,7.462,-167.53,133.565,-160.034
-31.181,-1.572,-220.26,138.638,-167.08
-87.072,-5.42,-198.465,140.454,-172.945
-47.031,9.868,-188.711,114.518,-162.685
-165.662,6.811,-254.635,142.17,-171.953
-80.668,-9.087,-157.789,131.27,-172.421
-44.834,-2.677,-217.839,124.887,-164.921
-14.267,-17.415,-193.337,115.461,-167.247
-134.903,0.029,-206.897,136.451,-165.696
-4.826,1.237,-228.733,112.503,-167.215
-42.91,-18.478,-165.678,162.042,-167.747
-5.629,1.485,-204.374,103.603,-169.12
-25.977,-9.48,-184.529,147.987,-166.802
-59.519,-7.06,-219.374,137.064,-165.689
-123.493,-11.565,-168.685,136.685,-162.694
-69.098,-0.785,-207.277,118.087,-170.086
-79.274,5.185,-218.711,114.585,-168.32
-20.718,-15.784,-219.854,125.218,-169.693
-44.952,-10.024,-172.4,128.776,-168.419
-98.192,1.314,-199.986,123.514,-164.695
-37.643,-11.004,-216.076,123.071,-167.045
-47.895,-3.148,-185.006,130.43,-166.857
-129.915,-11.988,-198.43,105.849,-164.318
-73.599,6.09,-168.54,106.946,-170.923
-53.652,-10.814,-219.58,107.045,-172.824
-39.912,-19.036,-172.995,99.915,-166.735
-90.332,3.093,-189.473,124.736,-164.947
-35.059,-5.433,-218.768,130.419,-164.219
-92.522,0.66,-174.669,95.043,-167.456
-76.124,-11.959,-228.217,181.071,-168.113
-75.869,-13.536,-232.506,113.595,-174.662
-99.697,0.4,-188.614,154.823,-168.946
-5.243,-13.994,-220.57,164.103,-169.079
-61.964,-10.83,-200.427,104.461,-167.313
-8.938,13.714,-156.702,87.89,-163.125
-56.771,6.921,-254.655,137.158,-174.149
-127.849,-3.505,-208.77,110.911,-168.581
-62.406,11.837,-201.461,130.264,-171.26
-96.249,-5.793,-197.723,138.833,-166.47
-72.303,-17.899,-204.132,143.341,-174.992
-44.005,-9.992,-152.468,110.964,-174.2
-127.472,1.033,-179.764,141.783,-168.771
-48.631,-14.829,-176.892,105.003,-167.673
-65.951,-16.264,-193.793,145.851,-162.604
-32.071,11.061,-146.56,114.631,-170.056
13.457,4.55,-158.877,108.516,-163.078
-81.16,-7.492,-155.39,120.291,-164.261
-39.973,4.286,-200.199,118.334,-166.819
-55.302,-1.033,-176.423,161.531,-166.397
-44.453,-1.064,-214.303,97.616,-162.883
-92.554,-2.249,-205.491,125.318,-168.605
-43.557,-2.54,-217.111,130.811,-167.118
-76.81,-11.606,-203.597,132.164,-170.32
-37.679,-7.33,-225.913,130.084,-168.735
-105.124,9.272,-186.369,129.819,-163.693
-38.384,-1.532,-181.823,116.032,-173.018
-73.51,3.326,-167.76,139.707,-166.055
-73.218,-11.892,-245.607,131.161,-175.447
-42.464,-1.879,-175.054,126.428,-170.026
-58.033,-9.377,-184.461,140.267,-168.89
-48.553,3.019,-166.933,123.117,-166.789
-81.231,1.911,-227.61,158.021,-170.092
-79.421,-8.421,-190.235,112.9,-163.968
-50.546,-4.699,-229.061,155.496,-170.277
-52.822,1.472,-204.13,139.022,-173.41
-18.887,-6.052,-186.295,130.56,-171.504
-53.186,3.499,-170.098,138.702,-171.183
-110.838,-14.961,-171.804,127.003,-166.724
-57.789,-7.494,-240.729,118.967,-158.802
-40.018,8.423,-170.44,131.331,-163.305
-106.576,-14.141,-240.473,147.659,-168.659
-71.826,4.317,-196.751,134.555,-170.363
-80.684,-13.198,-218.56,108.295,-166.583
-23.545,-6.357,-191.319,128.058,-169.218
-54.91,-15.203,-214.912,115.169,-168.609
-48.101,0.813,-180.49,135.1,-166.1
-10.595,3.665,-214.154,135.209,-164.851
-62.292,11.543,-204.385,106.042,-170.185
-84.66,-5.475,-195.444,119.451,-174.114
43.802,10.548,-200.683,148.537,-164.849
-100.601,2.706,-223.906,161.187,-168.824
-38.987,-7.444,-155.803,173.509,-167.371
-70.047,-5.958,-183.509,109.238,-165.856
-44.955,12.387,-197.76,133.39,-168.377
-111.913,1.032,-180.058,128.975,-170.784
-112.308,2.839,-229.927,134.502,-167.384
-96.812,-6.655,-198.491,95.424,-172.373
-91.355,-4.785,-194.502,93.51,-167.942
-36.621,-20.655,-204.912,117.239,-170.498
-76.609,4.726,-205.178,115.63,-166.501
-106.767,-9.407,-172.508,148.694,-167.158
0.015,-4.125,-234.168,116.65,-172.979
-44.348,0.362,-162.888,124.644,-168.655
-70.42,-4.564,-185.707,165.917,-172.119
-81.269,6.112,-201.448,133.898,-166.315
-81.626,-7.982,-170.156,102.332,-174.114
-182.644,0.921,-222.864,123.653,-168.967
-124.431,-0.13,-245.345,131.897,-170.924
-78.318,3.645,-166.293,129.861,-162.867
-88.623,-4.031,-216.944,131.061,-168.137
-57.263,10.062,-210.712,139.104,-165.611
-12.062,1.11,-207.345,118.474,-167.595
-99.979,19.067,-155.452,152.038,-169.359
-70.902,2.812,-207.343,141.067,-168.365
-9.529,-8.109,-192.175,124.639,-159.589
-106.146,-15.143,-205.878,121.389,-164.146
-64.298,-17.179,-203.503,119.73,-167.109
-19.351,-9.974,-186.004,128.581,-166.621
-73.163,-5.762,-167.028,132.761,-166.797
-50.801,0.603,-198.862,127.512,-170.596
-52.384,-15.17,-165.17,132.836,-171.246
-104.091,0.217,-161.931,132.759,-164.724
-76.06,-6.125,-188.282,120.915,-171.293
-87.979,-13.343,-175.341,126.45,-169.855
-16.031,-9.699,-207.573,111.813,-166.285
-89.728,5.012,-203.793,141.816,-165.407
-5.294,-28.389,-227.001,165.736,-165.23
