Response,Explanatory1,Explanatory2,Explanatory3,Explanatory4
-10.938,-88.73,194.497,134.859,-68.484
-41.836,-150.41,210.557,177.529,-50.475
41.058,-162.081,199.541,140.881,-105.261
71.492,-130.042,252.964,129.853,-103.735
15.408,-94.628,202.448,183.915,-74.994
-20.718,-85.744,170.991,126.793,-96.402
-49.345,-108.762,196.507,169.329,-88.51
-127.81,-126.048,188.036,137.834,-88.329
120.927,-94.081,195.983,112.564,-71.705
-25.428,-113.776,217.645,129.397,-124.126
115.081,-111.956,195.256,90.842,-74.822
-137.779,-151.052,172.675,117.398,-70.334
-28.717,-115.009,188.653,166.637,-96.228
-46.905,-175.746,207.781,174.089,-91.984
-89.553,-177.846,201.536,74.228,-98.766
-15.203,-120.226,201.777,162.733,-79.533
-29.186,-91.767,262.215,193.926,-107.947
43.432,-138.14,217.253,115.131,-70.443
46.335,-139.938,206.841,81.883,-93.212
-26.743,-129.328,197.211,194.818,-109.091
9.416,-147.997,201.815,97.11,-47.181
0.045,-129.648,201.507,98.182,-65.627
-84.058,-126.721,210.042,265.95,-96.309
-35.104,-169.299,162.475,130.515,-74.689
-92.805,-138.074,198.887,29.581,-108.762
30.223,-139.389,190.878,2.22,-79.309
29.074,-260.289,196.367,103.875,-85.773
16.929,-137.057,191.25,155.626,-54.403
-0.632,-122.834,217.161,91.629,-31.969
-21.107,-117.687,203.877,46.646,-91.716
-20.25,-179.536,215.904,130.492,-80.085
-58.761,-176.92,197.261,138.205,-90.369
-10.352,-90.854,197.365,-2.474,-80.03
-33.005,-127.85,203.077,137.714,-78.777
121.814,-109.378,193.199,-55.242,-84.877
-2.795,-125.728,196.069,180.05,-84.377
140.823,-114.718,210.578,107.838,-97.644
-48.531,-120.197,193.596,175.314,-73.497
19.202,-90.895,134.051,124.092,-76.911
-11.232,-69.276,238.582,149.046,-96.864
26.357,-134.02,194.5,138.544,-81.72
-32.565,-126.812,203.629,150.564,-100.213
-81.973,-148.714,222.146,187.314,-86.634
49.359,-135.526,198.755,114.679,-77.876
68.705,-122.482,213.735,137.952,-64.831
-26.958,-139.069,221.403,37.613,-95.226
24.834,-139.824,174.686,123.82,-72.451
-8.456,-148.701,247.7,67.659,-89.947
-9.36,-130.941,191.613,131.986,-84.357
-64.951,-142.118,213.177,127.621,-80.983
-38.796,-132.626,166.183,172.311,-95.395
-24.601,-146.413,189.997,125.868,-91.44
-26.549,-134.877,218.641,210.374,-87.974
-2.071,-122.905,207.996,95.544,-86.313
15.214,-113.518,202.675,112.244,-63.637
-35.495,-106.902,141.793,159.931,-113.446
-21.807,-148.737,249.6,76.19,-88.413
-11.713,-140.86,208.408,131.281,-75.129
-18.405,-96.939,184.575,159.175,-57.333
-34.35,-199.472,227.65,36.981,-82.401
-7.996,-135.226,229.358,160.437,-48.964
-54.406,-134.171,191.09,154.403,-70.505
-28.325,-140.359,201.662,115.641,-95.699
39.861,-143.737,192.589,140.522,-78.042
-167.62,-143.372,194.666,111.132,-94.573
4.332,-157.483,179.001,112.388,-86.016
-5.262,-83.722,222.43,176.003,-116.803
-10.685,-132.905,171.061,261.623,-65.612
-43.404,-158.334,194.418,118.583,-74.612
-23.841,-80.893,177.833,67.485,-61.817
-10.507,-176.72,192.331,44.392,-76.152
-53.581,-145.878,176.659,133.732,-68.723
-91.104,-120.49,191.657,79.008,-85.569
-87.822,-150.109,145.234,233.377,-66.021
12.752,-153.45,196.243,117.073,-77.647
15.863,-119.534,189.422,114.646,-80.98
-20.595,-122.85,185.82,136.352,-83.983
-7.426,-155.577,240.267,108.893,-82.273
-14.757,-119.235,205.084,5.508,-80.944
-28.915,-165.762,205.208,113.822,-75.128
18.855,-141.387,203.539,190.478,-72.772
-6.077,-121.2,216.537,85.125,-86.227
-8.514,-153.237,204.164,132.313,-85.975
-7.914,-120.409,264.112,183.729,-77.305
-128.729,-141.015,204.436,113.828,-73.869
-26.131,-131.688,215.328,132.181,-80.164
79.117,-146.731,224.349,172.015,-91.76
-64.507,-170.227,172.205,33.641,-83.13
-33.852,-135.594,196.18,169.478,-129.425
-150.296,-134.676,198.395,162.172,-90.559
2.971,-118.096,195.604,99.866,-56.42
-43.875,-129.013,198.832,107.153,-93.319
-24.001,-122.063,208.481,213.378,-72.273
-63.147,-140.064,199.081,213.187,-82.834
-46.054,-114.489,194.53,99.351,-93.757
-61.693,-138.628,191.952,113.787,-93.047
80.792,-144.536,174.981,255.889,-99.305
-41.024,-127.64,167.939,126.035,-69.557
23.009,-142.381,195.222,59.893,-97.137
-54.563,-125.916,192.924,128.778,-93.293
-8.185,-150.875,197.44,129.781,-85.58
-27.171,-127.18,177.114,115.271,-71.205
-79.42,-149.627,225.377,125.095,-83.047
65.514,-160.962,132.68,101.684,-68.237
5.443,-120.385,198.383,130.729,-84.315
-2.693,-63.953,135.084,135.015,-109.363
32.407,-138.443,192.697,167.252,-91.173
-49.067,-144.4,188.269,156.612,-59.327
-22.726,-180.157,188.398,120.543,-69.508
28.566,-90.246,204.819,127.09,-96.174
9.595,-158.067,197.323,199.614,-98.831
75.757,-114.116,213.588,70.697,-82.892
11.011,-110.297,210.283,122.732,-70.158
-17.347,-101.402,204.749,92.758,-102.251
-46.657,-169.651,142.487,124.666,-84.195
65.743,-94.863,193.331,130.304,-85.543
-95.577,-116.91,183.394,63.417,-78.092
-73.145,-215.314,191.891,146.877,-89.007
2.738,-126.518,183.814,164.621,-85.359
-27.453,-88.164,175.788,126.084,-75.824
-67.199,-136.188,166.726,160.033,-63.174
-15.704,-126.235,201.224,126.097,-79.1
-65.719,-168.482,165.174,139.38,-70.428
1.221,-101.902,191.53,129.159,-81.138
-11.85,-127.417,255.725,113.788,-66.963
-10.179,-88.273,198.975,119.927,-69.287
-53.004,-133.86,194.032,164.547,-82.127
-99.499,-104.164,209.921,157.599,-77.172
-50.111,-132.088,186.737,196.922,-85.429
-15.995,-86.209,181.924,127.457,-75.692
-50.903,-113.165,181.728,247.74,-75.667
-49.185,-99.967,211.458,119.591,-84.543
-14.715,-141.282,191.03,158.834,-75.54
-96.162,-136.105,147.345,144.42,-86.73
-83.75,-142.642,214.897,166.083,-83.807
16.466,-132.179,175.525,113.728,-83.717
55.17,-113.475,209.66,133.582,-85.262
-37.919,-105.679,179.477,116.867,-80.323
-10.04,-121.091,205.185,128.232,-101.927
-68.299,-141.801,218.014,114.327,-83.385
23.521,-137.652,194.084,132.819,-71.752
70.897,-143.251,177.894,200.47,-80.68
-17.95,-134.222,207.127,110.287,-81.468
