Response,Explanatory1,Explanatory2,Explanatory3,Explanatory4
145.05348810425454,-167.467,-126.532,103.611,67.884
155.22575287695034,-114.176,-126.583,110.582,34.836
141.031044271884,-128.83,-118.58,102.448,64.018
137.54479991790504,-157.924,-137.239,111.875,62.575
166.88109336056252,-148.739,-110.352,96.761,24.524
129.05360358412995,-110.063,-147.024,99.355,60.514
143.64675591149887,-138.563,-125.877,94.66,27.248
127.74223271822964,-136.253,-107.427,99.065,68.578
148.09579454000192,-113.786,-137.933,88.607,29.687
137.68554638126238,-187.721,-191.202,76.076,96.594
139.55131903840885,-150.764,-171.465,99.399,59.134
147.70830154746477,-180.613,-187.764,87.895,91.067
45.89759267909742,-77.115,-135.239,92.817,44.642
147.25267988797842,-190.708,-201.536,104.25,75.271
104.08089318342819,-184.203,-180.481,115.806,137.243
121.69151180246757,-151.894,-76.403,92.711,50.458
134.28807899763643,-162.087,-138.941,94.438,18.528
110.9820819210158,-125.401,-167.566,98.038,54.917
125.76318615192866,-109.137,-88.677,79.976,66.149
123.01297307531173,-150.501,-129.9,109.53,37.383
161.73855362779523,-139.183,-181.998,115.362,54.215
112.7861953447078,-182.783,-215.004,79.724,62.709
139.65063779912805,-57.055,-111.61,88.678,75.637
131.34940326505426,-172.022,-116.77,88.827,46.869
150.98464340089143,-181.967,-150.226,110.949,40.976
141.1717016710951,-136.147,-258.794,99.033,110.185
136.68403296799744,-136.813,-127.199,99.993,55.139
151.24697880374936,-155.653,-145.846,86.194,85.307
150.7844637238349,-203.845,-193.151,100.18,54.493
135.3081486714383,-153.612,-202.641,96.533,45.15
153.9113816687611,-163.542,-193.639,104.6,43.292
128.1814069087403,-166.226,-163.877,89.805,78.357
117.30200031781479,-203.705,-153.947,79.285,42.867
138.13881862679017,-211.367,-114.409,115.255,86.196
137.51536140892324,-161.312,-154.45,102.267,44.146
136.21250498297977,-150.973,-100.411,105.869,47.623
136.15805447684528,-174.891,-178.212,104.86,55.841
138.25331661093963,-88.858,-108.531,103.791,42.033
152.5866156631401,-109.913,-163.476,121.495,63.349
144.5430780484853,-163.588,-103.459,97.844,35.664
149.45951174053795,-135.322,-42.804,88.708,44.132
139.82862458596955,-117.44,-178.153,93.047,48.52
148.05508362596333,-127.601,-163.629,86.58,70.768
144.77358894432825,-75.127,-103.04,111.677,75.647
103.42429992900324,-91.447,-128.781,108.409,41.288
115.22033939627808,-178.598,-113.81,98.175,56.772
